product,entry_tick,exit,n,win,mean_bp,total_bp,t
IC0000,2,到09:31收盘,35,0.343,-2.25,-78.7,-1.31
IC0000,2,到09:32收盘,35,0.4,-2.04,-71.4,-0.75
IC0000,4,到09:31收盘,38,0.526,0.28,10.6,0.19
IC0000,4,到09:32收盘,38,0.447,-2.1,-79.9,-0.9
IC0000,6,到09:31收盘,36,0.444,-0.43,-15.5,-0.32
IC0000,6,到09:32收盘,36,0.556,-1.77,-63.8,-0.79
IC0000,8,到09:31收盘,37,0.378,0.53,19.7,0.4
IC0000,8,到09:32收盘,37,0.541,0.17,6.3,0.08
IC0000,10,到09:31收盘,38,0.474,0.17,6.5,0.13
IC0000,10,到09:32收盘,38,0.553,-0.18,-7.0,-0.08
IC0000,12,到09:31收盘,38,0.526,1.33,50.7,0.97
IC0000,12,到09:32收盘,38,0.579,1.43,54.2,0.61
IC0000,15,到09:31收盘,38,0.526,0.12,4.4,0.08
IC0000,15,到09:32收盘,38,0.5,0.83,31.4,0.34
IC0000,20,到09:31收盘,38,0.684,2.86,108.9,1.93
IC0000,20,到09:32收盘,38,0.605,2.63,99.8,1.04
IC0000,30,到09:31收盘,37,0.514,0.4,14.6,0.32
IC0000,30,到09:32收盘,37,0.568,0.63,23.4,0.29
IC0000,45,到09:31收盘,37,0.703,3.87,143.2,2.64
IC0000,45,到09:32收盘,37,0.649,5.12,189.5,2.1
IC0000,60,到09:31收盘,38,0.553,1.28,48.8,1.16
IC0000,60,到09:32收盘,38,0.605,3.0,114.1,1.3
IC0000,90,到09:31收盘,37,0.649,0.97,35.8,1.41
IC0000,90,到09:32收盘,37,0.622,3.18,117.5,1.57
IC0000,118,到09:31收盘,21,0.524,0.23,4.8,1.16
IC0000,118,到09:32收盘,23,0.522,-0.24,-5.6,-0.09
IF0000,2,到09:31收盘,37,0.541,1.18,43.6,0.69
IF0000,2,到09:32收盘,37,0.432,-2.99,-110.5,-1.03
IF0000,4,到09:31收盘,37,0.486,0.37,13.5,0.23
IF0000,4,到09:32收盘,37,0.622,-0.32,-12.0,-0.11
IF0000,6,到09:31收盘,35,0.457,0.49,17.0,0.31
IF0000,6,到09:32收盘,35,0.543,-1.27,-44.4,-0.44
IF0000,8,到09:31收盘,35,0.429,-0.08,-2.7,-0.05
IF0000,8,到09:32收盘,35,0.6,0.23,8.0,0.08
IF0000,10,到09:31收盘,37,0.541,0.03,1.0,0.02
IF0000,10,到09:32收盘,37,0.541,-1.9,-70.4,-0.71
IF0000,12,到09:31收盘,38,0.447,-0.42,-16.0,-0.32
IF0000,12,到09:32收盘,38,0.526,-0.23,-8.7,-0.09
IF0000,15,到09:31收盘,37,0.405,-0.56,-20.7,-0.45
IF0000,15,到09:32收盘,37,0.514,-0.24,-8.8,-0.09
IF0000,20,到09:31收盘,38,0.421,-1.01,-38.3,-0.91
IF0000,20,到09:32收盘,38,0.474,-1.21,-46.0,-0.49
IF0000,30,到09:31收盘,37,0.541,0.79,29.1,0.68
IF0000,30,到09:32收盘,37,0.595,-0.9,-33.5,-0.39
IF0000,45,到09:31收盘,37,0.676,2.99,110.8,2.67
IF0000,45,到09:32收盘,37,0.622,0.03,0.9,0.01
IF0000,60,到09:31收盘,38,0.474,0.11,4.3,0.12
IF0000,60,到09:32收盘,38,0.421,-3.59,-136.5,-1.67
IF0000,90,到09:31收盘,35,0.286,-0.85,-29.7,-1.23
IF0000,90,到09:32收盘,35,0.429,-2.99,-104.5,-1.49
IF0000,118,到09:31收盘,30,0.4,-0.24,-7.2,-0.88
IF0000,118,到09:32收盘,33,0.455,-2.46,-81.3,-1.19
IH0000,2,到09:31收盘,37,0.541,3.63,134.3,1.4
IH0000,2,到09:32收盘,37,0.568,4.79,177.2,1.07
IH0000,4,到09:31收盘,37,0.514,2.0,74.1,0.78
IH0000,4,到09:32收盘,37,0.459,-0.46,-17.1,-0.11
IH0000,6,到09:31收盘,38,0.526,1.29,49.0,0.54
IH0000,6,到09:32收盘,38,0.447,-1.18,-44.9,-0.29
IH0000,8,到09:31收盘,36,0.5,0.11,4.1,0.06
IH0000,8,到09:32收盘,36,0.444,-2.74,-98.6,-0.76
IH0000,10,到09:31收盘,37,0.459,0.22,8.1,0.12
IH0000,10,到09:32收盘,37,0.405,-3.48,-128.9,-1.02
IH0000,12,到09:31收盘,38,0.474,1.37,52.0,0.61
IH0000,12,到09:32收盘,38,0.395,-0.92,-34.9,-0.23
IH0000,15,到09:31收盘,37,0.514,2.53,93.6,1.15
IH0000,15,到09:32收盘,37,0.514,1.33,49.1,0.32
IH0000,20,到09:31收盘,37,0.432,-0.61,-22.6,-0.29
IH0000,20,到09:32收盘,37,0.432,-3.81,-140.9,-0.98
IH0000,30,到09:31收盘,37,0.568,1.07,39.6,0.52
IH0000,30,到09:32收盘,37,0.432,-3.73,-138.1,-1.04
IH0000,45,到09:31收盘,37,0.541,-0.39,-14.3,-0.22
IH0000,45,到09:32收盘,37,0.405,-6.86,-253.6,-2.24
IH0000,60,到09:31收盘,38,0.5,-0.71,-27.1,-0.58
IH0000,60,到09:32收盘,38,0.421,-5.56,-211.2,-2.02
IH0000,90,到09:31收盘,37,0.351,-0.23,-8.5,-0.27
IH0000,90,到09:32收盘,37,0.459,-3.76,-139.2,-1.54
IH0000,118,到09:31收盘,28,0.25,-0.79,-22.2,-2.98
IH0000,118,到09:32收盘,30,0.433,-4.96,-148.9,-1.62
IM0000,2,到09:31收盘,36,0.583,1.3,46.8,0.64
IM0000,2,到09:32收盘,36,0.444,-2.59,-93.4,-0.92
IM0000,4,到09:31收盘,38,0.421,-1.7,-64.4,-0.89
IM0000,4,到09:32收盘,38,0.368,-3.68,-139.8,-1.46
IM0000,6,到09:31收盘,38,0.553,1.13,42.8,0.61
IM0000,6,到09:32收盘,38,0.5,-0.73,-27.7,-0.29
IM0000,8,到09:31收盘,38,0.5,-0.11,-4.1,-0.06
IM0000,8,到09:32收盘,38,0.5,-2.98,-113.1,-1.22
IM0000,10,到09:31收盘,38,0.395,-0.14,-5.2,-0.07
IM0000,10,到09:32收盘,38,0.526,-2.32,-88.0,-0.91
IM0000,12,到09:31收盘,38,0.447,1.25,47.3,0.67
IM0000,12,到09:32收盘,38,0.526,-1.1,-41.9,-0.42
IM0000,15,到09:31收盘,37,0.622,1.67,61.7,0.9
IM0000,15,到09:32收盘,37,0.486,-1.86,-68.7,-0.71
IM0000,20,到09:31收盘,38,0.553,1.49,56.6,0.75
IM0000,20,到09:32收盘,38,0.526,-1.2,-45.7,-0.46
IM0000,30,到09:31收盘,38,0.605,1.65,62.6,0.98
IM0000,30,到09:32收盘,38,0.5,-0.51,-19.4,-0.21
IM0000,45,到09:31收盘,38,0.684,3.47,131.7,2.24
IM0000,45,到09:32收盘,38,0.5,1.95,74.1,0.75
IM0000,60,到09:31收盘,37,0.459,0.82,30.3,0.62
IM0000,60,到09:32收盘,37,0.622,3.12,115.5,1.26
IM0000,90,到09:31收盘,37,0.486,0.29,10.6,0.33
IM0000,90,到09:32收盘,37,0.568,2.36,87.3,1.06
IM0000,118,到09:31收盘,19,0.526,0.18,3.4,0.59
IM0000,118,到09:32收盘,28,0.607,4.2,117.6,1.71
