板块,品种,历史(年),趋势夏普,噪声比,回撤结构比,跳空比(2%),自适应跳空比(3σ),TSMOM夏普,方差比VR
贵金属,黄金,16.4,0.64,0.33,0.15,0.052,0.015,0.68,0.87
有色金属,铜,16.4,0.28,0.335,0.74,0.076,0.018,0.21,0.95
黑色,螺纹钢,16.4,0.01,0.287,2.38,0.12,0.017,0.12,1.04
黑色,铁矿石,12.6,0.12,0.297,3.76,0.287,0.012,0.09,1.03
黑色,焦煤,13.2,0.18,0.309,16.2,0.262,0.014,0.46,1.02
农产品,豆粕,16.4,0.08,0.309,9.18,0.071,0.014,-0.11,0.97
农产品,棕榈油,16.4,0.19,0.308,1.98,0.138,0.011,-0.07,0.96
农产品,玉米,16.4,0.19,0.295,1.84,0.015,0.016,0.41,1.01
农产品,生猪,5.4,-0.68,0.273,1.09,0.115,0.013,0.65,1.18
新能源,碳酸锂,2.9,-0.02,0.264,2.86,0.331,0.025,0.99,0.99
航运,集运指数(欧线),2.8,1.01,0.218,0.3,0.552,0.022,-0.36,1.32
新能源,工业硅,3.4,-0.87,0.312,1.15,0.138,0.013,0.29,0.9
